id,category,error_name,user_error_text,symptoms,cause,step_1,step_2,step_3,step_4,step_5,verification,risk,os_version,device_type,tag,log_snippet
NEW001,Hardware,PC Will Not Turn On,My PC does not turn on at all when I press the power button,"No power, no lights, no fan movement, completely dead","Power supply issue, loose power cable, faulty power button, or motherboard problem","✅ Option 1: Check Power Source (VERY IMPORTANT)
Make sure the power cable is firmly plugged into the PC and wall socket
Try a different wall socket
If using a power strip / UPS, bypass it and connect directly to the wall
Look for any loose or damaged power cable
📌 If there is no power reaching the PC, it will not turn on at all.","✅ Option 2: Verify Power Supply (PSU) Switch
Check the switch at the back of the PSU
It must be set to ON ( | ), not OFF ( O )
If your PSU has a voltage selector, ensure it matches your region (usually 230V)","✅ Option 3: Look for Any Signs of Power
Do you see any lights on the motherboard or case?
Do fans spin for even a second?
Do you hear any click or sound?
✔️ No lights / sounds → likely power supply or cable issue
✔️ Lights but no start → possible motherboard or power button issue","✅ Option 4: Check the Power Button Connection
Turn off power and unplug the PC
Open the case
Locate the front panel connectors on the motherboard
Ensure the POWER SW cable is properly connected
🔎 Test tip:
Briefly touch the power switch pins with a screwdriver
If PC turns on → Power button is faulty","✅ Option 5: Reseat Main Power Cables
Remove and reconnect:
24-pin motherboard power cable
8-pin CPU power cable
Make sure they click firmly into place
Loose cables can prevent startup completely.",PC should turn on and display POST screen or boot into Windows,low,Windows 10/11,Desktop,"power, hardware, startup",
NEW002,Boot,Restart Loop - Windows Stuck Restarting,My computer gets stuck on the restarting screen and never loads Windows,"Windows restart screen loops indefinitely, never completes boot","Corrupted boot files, problematic Windows update, driver conflict, or USB device blocking boot","✅ Option 1: Force Restart (Quick Fix)
Hold the Power button for 10 seconds to shut down the PC
Wait 30 seconds
Turn the PC back ON
📌 Sometimes Windows gets stuck due to a temporary process hang.","✅ Option 2: Disconnect External Devices
Power OFF the computer
Unplug USB devices (pen drive, printer, external HDD, webcam, etc.)
Keep only keyboard + mouse
Turn the PC ON again
✔️ Faulty USB devices can block Windows during restart.","✅ Option 3: Enter Automatic Repair Mode
If it still loops:
Turn ON the PC
When Windows logo appears → force shutdown
Repeat 2–3 times
Windows should show ""Preparing Automatic Repair""","✅ Option 4: Run Startup Repair
In Automatic Repair:
Click Advanced options
Go to Troubleshoot → Advanced options
Select Startup Repair
Choose your Windows account
✔️ This fixes boot files automatically.","✅ Option 5: Boot into Safe Mode
If Startup Repair fails:
Advanced options → Startup Settings
Click Restart
Press 4 or F4 → Safe Mode
If Safe Mode loads:
Press Win + R, type msconfig
Go to Services
✔️ Check Hide all Microsoft services
Click Disable all
Restart normally
📌 This removes problematic drivers or software.",Windows should boot normally after completing these steps,medium,Windows 10/11,Desktop/Laptop,"boot, restart, loop, windows",
NEW003,Network,Wi-Fi Connected But No Internet,"My device is connected to Wi-Fi, but the internet is not working.","Wi-Fi shows connected but websites do not load, no internet access","Router/modem issue, incorrect IP configuration, proxy settings, or ISP problem","✅ Option 1: Check If Internet Works on Other Devices
Test Wi-Fi on another phone or laptop
If no devices have internet → router or ISP issue
If other devices work → problem is with your PC
📌 This step helps isolate the problem quickly.","✅ Option 2: Restart Network Devices (VERY IMPORTANT)

Turn OFF:
Modem
Router
Your computer
Wait 2 minutes
Turn ON in this order:
Modem → wait for stable lights
Router → wait 1 minute
Computer
✔️ Fixes most temporary network and IP issues.","✅ Option 3: Forget & Reconnect Wi-Fi
Go to Settings → Network & Internet → Wi-Fi
Click Manage known networks
Select your Wi-Fi → Forget
Reconnect and enter the password again
📌 Fixes wrong or corrupted network profiles.","✅ Option 4: Check IP Address Configuration
Press Win + R → type cmd → Enter
Type:
ipconfig
🔎 Look at IPv4 Address:
If it starts with 169.254.x.x → No valid IP received
✔️ Fix:
ipconfig /release
ipconfig /renew","✅ Option 5: Disable Proxy & VPN
Go to Settings → Network & Internet → Proxy
Turn OFF ""Use a proxy server""
Disconnect any VPN software
Restart the PC
📌 Proxy/VPN misconfiguration is a common cause.",Internet should work after reconnecting and fixing IP configuration,low,Windows 10/11,Desktop/Laptop,"network, wifi, internet, connection",
NEW004,Audio,No Sound Output,There is no sound coming from my computer,"No audio output from speakers or headphones, system sounds do not play","Muted volume, wrong output device, audio driver issue, or disabled audio services","✅ Option 1: Check Basic Sound Settings (VERY IMPORTANT)
Click the speaker icon in the bottom-right corner
Make sure: ❌ Not muted / 🔊 Volume is above 50%
Play a YouTube video or Windows test sound
📌 Many no-sound issues are simply mute or low volume.","✅ Option 2: Select the Correct Audio Output Device
Right-click speaker icon → Sound settings
Under Output, choose the correct device: [Speakers (Realtek / Internal) / Headphones / HDMI / Monitor audio / Bluetooth device]
Click Test
✔️ Wrong output device = no sound even when volume is high.","✅ Option 3: Restart Audio Services
Press Win + R
Type services.msc → Enter
Restart: Windows Audio / Windows Audio Endpoint Builder
📌 Fixes stuck or crashed audio services.","✅ Option 4: Check & Fix Audio Driver (MOST COMMON CAUSE)
Press Win + X → Device Manager
Expand Sound, video and game controllers
If you see: ⚠️ Yellow warning → driver issue
Right-click your audio device: Update driver
Restart PC (Windows reinstalls driver)","✅ Option 5: Enable Speakers in Playback Devices
Right-click speaker icon → Sounds
Go to Playback tab
Right-click inside → ✔️ Show Disabled Devices
Enable Speakers
Set it as Default Device
📌 Disabled speakers = silence.",Sound should play when testing audio output,low,Windows 10/11,Desktop/Laptop,"audio, sound, driver, speakers",
NEW005,Driver,USB Device Not Recognized,My USB device is not recognized by the computer,"USB device not detected, no notification when plugged in, device manager shows unknown device","Faulty USB device, damaged USB port, power saving settings, or USB controller driver issue","✅ Option 1: Check the USB Device Itself (VERY IMPORTANT)
Unplug the USB device and plug it back in firmly
Try the device on another computer
❌ Not detected there → USB device is faulty
✔️ Works there → problem is with your PC
Inspect the USB connector for damage or dirt
📌 This immediately tells you whether it's a device or PC issue.","✅ Option 2: Restart the Computer
Restart Windows normally
Plug in the USB device after Windows fully loads
✔️ Fixes temporary USB controller glitches.","✅ Option 3: Try Different USB Ports
Try all USB ports on the PC
On desktops, prefer rear motherboard ports
Avoid USB hubs or extension cables
📌 A damaged or underpowered port can cause this error.","✅ Option 4: Disable USB Power Saving (MOST EFFECTIVE)
Press Win + X → Device Manager
Expand Universal Serial Bus controllers
For each USB Root Hub: Right-click → Properties → Power Management tab
❌ Uncheck Allow the computer to turn off this device to save power
Click OK and restart
✔️ Prevents Windows from shutting down USB ports.","✅ Option 5: Reinstall USB Controllers
In Device Manager
Expand Universal Serial Bus controllers
Right-click and Uninstall:
USB Root Hub / USB Host Controller / Unknown USB Device (if shown)
Restart the PC
📌 Windows will automatically reinstall fresh USB drivers.",USB device should be recognized and appear in File Explorer or Device Manager,low,Windows 10/11,Desktop/Laptop,"usb, driver, device, hardware",
NEW006,Security,Forgot Windows Login Password,I forgot my Windows login password and cannot access my PC,"Cannot log into Windows account, password prompt appears but password is forgotten","Forgotten password, account lockout, or password reset needed","✅ Option 1: Reset Password (Microsoft Account) — BEST & EASIEST
✔️ Use this if you sign in with an email address (Outlook / Hotmail / Live)
Steps:
On another device (phone or PC), open a browser
Go to: account.microsoft.com/password
Reset your password using:
Email
Phone number
Security code
Restart your PC
Log in using the new password
📌 Your PC must be connected to the internet.","✅ Option 2: Use PIN / Picture Password (If Set Before)
On the login screen, click Sign-in options
Try:
PIN
Picture password
✔️ Many users forget the password but still have a working PIN.","✅ Option 3: Reset Local Account Password (Advanced)
Use this if your account is NOT a Microsoft account.
Steps:
Restart PC
Interrupt boot 2–3 times (power off during Windows logo)
You'll see Preparing Automatic Repair
Go to:
Advanced options → Troubleshoot → Advanced options
Startup Repair (try first)
If Startup Repair fails, continue.","✅ Option 4: Reset Windows While Keeping Files (SAFE)
✔️ This is the most reliable local account fix.
Steps:
Automatic Repair screen → Troubleshoot
Click Reset this PC
Choose Keep my files
Select Local reinstall
Follow on-screen steps
📌 This removes the password but keeps:
Documents
Pictures
Videos
❌ Apps will be removed.","✅ Option 5: Use Another Admin Account (If Exists)
On the login screen, switch users
Log in with another Administrator account
Open:
Control Panel → User Accounts
Reset password for your account",Should be able to log in with new password or PIN,medium,Windows 10/11,Desktop/Laptop,"password, login, security, account",
NEW007,Hardware,Laptop Overheating and Auto Shutdown,My laptop overheats and shuts down automatically,"Laptop gets very hot, fan runs loudly, system shuts down unexpectedly, performance throttles","Dust buildup, poor airflow, failing cooling fan, dried thermal paste, or high CPU/GPU load","✅ Option 1: Improve Airflow (VERY IMPORTANT)
Place the laptop on a hard, flat surface
❌ Avoid beds, pillows, or laps (they block vents)
Keep air vents fully clear
Use the laptop in a cool room
📌 Poor airflow is the #1 cause of overheating.","✅ Option 2: Clean Dust From Vents & Fan
Power OFF and unplug the laptop
Use compressed air to blow dust out of vents
If experienced, open the back cover and:
Clean cooling fan
Clean heatsink
✔️ Dust blocks airflow and traps heat.","✅ Option 3: Check If the Cooling Fan Is Working
Turn on the laptop and listen:
✔️ Fan noise = OK
❌ No sound = fan may be dead
Use tools like HWMonitor or Core Temp to check temperatures
⚠️ CPU temps above 90°C = overheating.","✅ Option 4: Reduce CPU & GPU Load
Press Ctrl + Shift + Esc → Task Manager
End unnecessary apps
Disable heavy startup programs
Avoid gaming or rendering until fixed
📌 High CPU usage = more heat.","✅ Option 5: Replace Thermal Paste (Advanced but Effective)
Thermal paste dries after 2–3 years
Replacing it can reduce temps by 10–20°C
Requires laptop disassembly (do only if experienced)
✔️ Very effective for older laptops.",Laptop should run cooler and not shut down unexpectedly,medium,Windows 10/11,Laptop,"overheating, thermal, hardware, fan",
NEW008,BSOD,Blue Screen Error (BSOD),I am getting a blue screen error on Windows 10/11.,"Blue screen appears, system crashes, STOP code displayed, automatic restart","Driver conflict, hardware failure, memory issues, corrupted system files, or incompatible software","✅ Option 1: Note the STOP CODE (VERY IMPORTANT)
On the blue screen, look for text like:
CRITICAL_PROCESS_DIED / IRQL_NOT_LESS_OR_EQUAL / MEMORY_MANAGEMENT / SYSTEM_THREAD_EXCEPTION_NOT_HANDLED
📌 Write this down — it tells us the exact cause.","✅ Option 2: Restart in Safe Mode
1.Restart the PC
2.If BSOD repeats, force shutdown 2–3 times
3.When Automatic Repair appears:
	Advanced options → Troubleshoot
	Advanced options → Startup Settings
	Restart → Press 4 (Safe Mode)
✔️ Safe Mode loads only essential drivers.","✅ Option 3: Remove Recent Changes

If BSOD started recently:
	Uninstall new software
	Unplug new hardware
	Roll back recent drivers
	Uninstall recent Windows updates (Settings → Windows Update → Update history)
📌 Most BSODs are caused by recent changes.","✅ Option 4: Update or Reinstall Drivers
1.Press Win + X → Device Manager
2.Check for ⚠️ yellow warning icons
3.Update these drivers first:
	Display / Graphics
	Network
	Storage (SATA / NVMe)
4.If issue started after driver update → Roll back driver
✔️ Bad drivers = #1 BSOD cause.",,System should boot normally without blue screen errors,high,Windows 10/11,Desktop/Laptop,"bsod, blue screen, crash, driver",
NEW009,Display,Laptop Black Screen on Startup,"My laptop turns on, but the screen stays black","Laptop powers on but display remains black, no image on screen, backlight may be off","Brightness settings, display toggle, hardware failure, loose connections, or RAM issues","✅ Option 1: Check Brightness & Display Toggle (VERY IMPORTANT)
	Press Fn + Brightness Up key (usually F5 / F6 / F7 / F8)
	Press Fn + Display Switch key (often Fn + F4 / F5 / F8)
📌 Sometimes the screen is on but brightness is set to zero or display is switched off.","✅ Option 2: Hard Reset the Laptop
1.Power OFF the laptop
2.Unplug the charger
3.Remove the battery (if removable)
4.Hold Power button for 30 seconds
5.Reconnect charger and turn ON
✔️ Clears static power and fixes many black-screen issues.","✅ Option 3: Test With an External Monitor
Connect laptop to a TV or external monitor (HDMI / VGA)
Turn laptop ON
Press Fn + Display Switch key
Result:
✔️ External display works → laptop screen or cable issue
❌ No display anywhere → GPU / motherboard issue
📌 This is a key diagnostic step.","✅ Option 4: Look for Signs of Life
Check carefully:
	Caps Lock light toggles ON/OFF?
	Do you hear Windows startup sound?
	Fan spinning normally?
✔️ Yes → display problem
❌ No → system not booting properly","✅ Option 5: Reseat RAM (Advanced but Effective)

⚠️ Do this only if you're comfortable opening the laptop.
	Power OFF and unplug
	Remove back cover
	Remove RAM stick
	Clean contacts gently
	Reinsert RAM firmly
	Power ON
📌 Loose RAM commonly causes black screen on startup.",Screen should display normally after fixing the issue,medium,Windows 10/11,Laptop,"black screen, display, laptop, startup",
NEW010,Boot,Windows Not Booting After Update,Windows is not booting after installing the latest update,"Windows fails to boot after update installation, stuck on loading screen, automatic repair loop","Corrupted update files, incompatible update, driver conflict, or boot file corruption","✅ Option 1: Wait on ""Undoing Changes"" Screen (VERY IMPORTANT)
	If you see ""Undoing changes made to your computer""
	Wait 20–40 minutes
	Do NOT force shutdown too quickly
📌 Windows may still be rolling back the update.","✅ Option 2: Force Automatic Repair Mode
If Windows never loads:
1.Power ON the PC
2.When Windows logo appears → hold Power button to shut down
3.Repeat 2–3 times
4.You should see Preparing Automatic Repair","✅ Option 3: Run Startup Repair
From Automatic Repair:
	Advanced options → Troubleshoot
	Advanced options → Startup Repair
	Select your account and continue
✔️ Fixes broken boot files caused by updates.","✅ Option 4: Uninstall the Latest Windows Update (MOST EFFECTIVE)
If Startup Repair fails:
1.Advanced options → Troubleshoot
2.Uninstall Updates
3.Choose one:
	✅ Uninstall latest quality update (recommended first)
	If still fails → Uninstall latest feature update

📌 This directly removes the update that broke Windows.","✅ Option 5: Boot Into Safe Mode
1.Advanced options → Startup Settings
2.Click Restart
3.Press 4 or F4 → Safe Mode

If Safe Mode works:
	Uninstall recently installed drivers
	Disable startup apps
	Restart normally

✔️ Confirms Windows itself is still functional.",Windows should boot normally after uninstalling the problematic update,medium,Windows 10/11,Desktop/Laptop,"boot, update, windows, startup",
NEW011,Boot,Automatic Repair Loop,My PC is stuck in an automatic repair loop,"PC continuously loops in automatic repair, cannot boot into Windows, repair fails repeatedly","Corrupted boot files, external device blocking boot, broken Windows update, or driver conflict","✅ Option 1: Power Cycle & Remove External Devices (VERY IMPORTANT)
Turn OFF the PC completely
Unplug all USB devices (pen drives, printers, external HDDs)
For laptops: unplug charger and remove battery (if possible)
Hold Power button for 30 seconds
Reconnect power and turn ON

📌 External devices can block boot and cause repair loops.","✅ Option 2: Enter Advanced Startup Options
When Automatic Repair appears:
	Click Advanced options
	Select Troubleshoot

If you cannot reach this screen, force shutdown 2–3 times during startup.","✅ Option 3: Run Startup Repair (Once Only)
	Troubleshoot → Advanced options → Startup Repair
	Select your Windows account

⚠️ If Startup Repair fails once, do not repeat multiple times — move to next step.","✅ Option 4: Uninstall Recent Windows Updates (MOST EFFECTIVE)

Troubleshoot → Advanced options → Uninstall Updates
Choose:
	Uninstall latest quality update
	If still looping → Uninstall latest feature update

✔️ Broken updates are the #1 cause of repair loops.","✅ Option 5: Boot into Safe Mode

Troubleshoot → Advanced options → Startup Settings
Click Restart
Press 4 (Safe Mode)

If Safe Mode loads:
	Uninstall recently installed drivers/software
	Disable startup programs
	Restart normally

📌 Confirms Windows core files still work.",PC should boot normally without entering repair loop,medium,Windows 10/11,Desktop/Laptop,"repair loop, boot, automatic repair, windows",
NEW012,Performance,Random System Freezes,My computer freezes randomly while I am using it,"System freezes randomly, becomes unresponsive, mouse/keyboard stop working, requires hard restart","Overheating, high CPU/RAM usage, driver issues, faulty RAM, or hardware failure","✅ Option 1: Check for Overheating (VERY IMPORTANT)
1.Touch the laptop bottom / desktop case: Very hot? → overheating
2.Install HWMonitor or Core Temp
3.Check temperatures: CPU > 85–90°C = problem

✔️ Fix:
Clean dust from fans
Ensure vents are not blocked
Use laptop on hard surface
Replace thermal paste (older systems)

📌 Overheating is the #1 cause of random freezes.","✅ Option 2: Check CPU & RAM Usage
1.Press Ctrl + Shift + Esc → Task Manager
2.Watch:CPU usage / Memory usage / Disk usage

❌ If CPU or Disk stays at 100% → freeze cause found
✔️ End unnecessary apps
✔️ Disable heavy startup programs","✅ Option 3: Update or Roll Back Drivers
1.Press Win + X → Device Manager
2.Update these first: Graphics (GPU) / Storage (SATA / NVMe) / Network
3.If freezing started after update → Roll back driver

📌 Bad drivers commonly cause system hangs.","✅ Option 4: Test RAM (Memory Errors)

1.Press Win + R
2.Type mdsched.exe
3.Restart and test

❌ Errors found → faulty RAM stick (replace it)","✅ Option 5: Check Event Viewer (Advanced)
1.Press Win + X → Event Viewer
2.Go to: Windows Logs → System
3.Look for Critical / Error events during freeze time

📌 Helps identify failing drivers or hardware.",System should run smoothly without random freezes,medium,Windows 10/11,Desktop/Laptop,"freeze, hang, performance, overheating",
NEW013,Performance,Computer Suddenly Very Slow,My computer has suddenly become very slow Windows 10 / 11,"Sudden performance degradation, slow response times, laggy interface, applications take long to load","Background processes, high resource usage, malware, too many startup programs, or temporary file buildup","✅ Option 1: Restart & Check for Temporary Issues (VERY IMPORTANT)
Restart your computer once
After reboot, wait 5 minutes (Windows may be finishing background tasks)
Test performance again
📌 This fixes many short-term slowdowns.","✅ Option 2: Check Task Manager for High Usage
Press Ctrl + Shift + Esc → Task Manager
Check: [CPU | Memory | (RAM)Disk]
🔎 Common problems:
Disk stuck at 100%
Memory above 80–90%
One app using too much CPU

✔️ End unnecessary tasks
✔️ Note the app causing high usage","✅ Option 3: Disable Unnecessary Startup Programs
Task Manager → Startup tab
Disable apps you don't need at startup: [Launchers | Auto updaters | Chat apps]
📌 This significantly improves boot and overall speed.","✅ Option 4: Scan for Malware & Viruses
Open Windows Security
Run a Full Scan
Remove detected threats
📌 Malware can cause sudden performance drops.","✅ Option 5: Clean Temporary Files
Press Win + R → type temp → delete files
Again Win + R → type %temp% → delete
Use Disk Cleanup on C: drive
✔️ Frees space and improves responsiveness.",Computer should respond faster and run more smoothly,low,Windows 10/11,Desktop/Laptop,"slow, performance, lag, slowdown",
