product_id,shop_id,shop_name,district,category,brand,model,specifications,price_lkr,stock_status,warranty,last_updated,verified,shop_name_shop,district_shop,city_address,latitude,longitude,average_rating,reviews_count,verified_shop,shop_type
P0001,KAN059,M ZONE PC Solutions,Kandy,Motherboard,MSI,B450,"B450 chipset, Mini-ITX",158149,In Stock,6 Months,2025-09-24,No,M ZONE PC Solutions,Kandy,"No.139 Market Road, Kadugannawa 20300, Sri Lanka",7.2567049,80.5216238,4.9,11.0,Maybe,product_shop
P0001,KAN059,M ZONE PC Solutions,Kandy,Motherboard,MSI,B450,"B450 chipset, Mini-ITX",158149,In Stock,6 Months,2025-09-24,No,TITAN Computers Technologies,Kandy,"maberiya junction digana rajawalla, Digana 20180, Sri Lanka",7.2930728,80.7490973,5.0,5.0,Maybe,repair_shop
P0002,COL005,3C Technologies,Colombo,SSD,Crucial,2TB,"2TB, SATA",13595,Out of Stock,36 Months,2025-09-24,Maybe,3C Technologies,Colombo,"545, 1 Athurugiriya Rd, Malabe 10115, Sri Lanka",6.8960032,79.9597543,5.0,6.0,Maybe,product_shop
P0002,COL005,3C Technologies,Colombo,SSD,Crucial,2TB,"2TB, SATA",13595,Out of Stock,36 Months,2025-09-24,Maybe,SH TECHINFO (PVT) LTD,Colombo,"11 Pamankada Ln, Colombo 00600, Sri Lanka",6.8761642,79.8669423,5.0,141.0,Maybe,repair_shop
P0003,ANU289,Abans Thambuttegama Unlimited,Anuradhapura,Laptop,HP,Aspire,"8GB RAM, 512GB SSD, i5",172213,Out of Stock,12 Months,2025-09-24,Maybe,Abans Thambuttegama Unlimited,Anuradhapura,"No 72 Anuradhapura road, Thambuttegama 50240, Sri Lanka",8.153124199999999,80.29564839999999,5.0,10.0,Maybe,product_shop
P0003,ANU289,Abans Thambuttegama Unlimited,Anuradhapura,Laptop,HP,Aspire,"8GB RAM, 512GB SSD, i5",172213,Out of Stock,12 Months,2025-09-24,Maybe,Auto More,Anuradhapura,"No 562, 123 A Technical side, dahaiyagama 50000, Sri Lanka",8.3349457,80.3969464,5.0,10.0,Maybe,repair_shop
P0004,MAT112,Tharanga Computers,Matara,GPU,AMD,RTX 4070,"12GB GDDR6, Dual Fan",73933,Out of Stock,36 Months,2025-09-24,Yes,Tharanga Computers,Matara,"WGXW+V9V, Matara, Sri Lanka",5.949745999999999,80.5459079,5.0,6.0,Maybe,product_shop
P0004,MAT112,Tharanga Computers,Matara,GPU,AMD,RTX 4070,"12GB GDDR6, Dual Fan",73933,Out of Stock,36 Months,2025-09-24,Yes,Weligama Winux Computer,Matara,"new shopping complex, 26 1st floor, Weligama 81700, Sri Lanka",5.9743088,80.4293445,5.0,21.0,Maybe,repair_shop
P0005,GAL100,GK COMPUTERS BADDEGAMA,Galle,Monitor,LG,24-inch FHD,"24-inch FHD, 75Hz",125715,Out of Stock,12 Months,2025-09-24,Maybe,GK COMPUTERS BADDEGAMA,Galle,"sandarawala junction, gk computers, galle road, Baddegama 80200, Sri Lanka",6.154696899999999,80.1838743,5.0,9.0,Maybe,product_shop
P0005,GAL100,GK COMPUTERS BADDEGAMA,Galle,Monitor,LG,24-inch FHD,"24-inch FHD, 75Hz",125715,Out of Stock,12 Months,2025-09-24,Maybe,Tech Nest Computers,Galle,"Galle Road, Mirissa 81750, Sri Lanka",5.940227,80.4729757,5.0,13.0,Maybe,repair_shop
